id;federal_subject;boundary_name
00000000014910;Забайкальский край;Красноярский край
00000000014928;Забайкальский край;Красноярский край
00000000016052;Астраханская область;Самарская область
00000000016215;Москва;Владимирская область
00000000016223;Москва;Владимирская область
00000000016232;Москва;Пермский край
00000000016233;Москва;Московская область
00000000016234;Москва;Тверская область
00000000016244;Москва;Московская область
00000000016248;Москва;Владимирская область
00000000016256;Москва;Московская область
00000000016260;Москва;Владимирская область
00000000016261;Москва;Московская область
00000000016273;Москва;Владимирская область
00000000016281;Москва;Владимирская область
00000000016285;Москва;Владимирская область
00000000016286;Москва;Владимирская область
00000000016294;Москва;Московская область
00000000016303;Москва;Московская область
00000000016312;Москва;Московская область
00000000016316;Москва;Владимирская область
00000000016320;Москва;Московская область
00000000016667;Москва;Пермский край
00000000016670;РФ;Москва
00000000017015;Москва;Пермский край
00000000017227;Краснодарский край;Воронежская область
00000000017293;РФ;Республика Башкортостан
00000000017294;РФ;Республика Башкортостан
00000000017301;РФ;Республика Башкортостан
00000000017326;РФ;Республика Башкортостан
00000000017333;Республика Башкортостан;Краснодарский край
00000000017814;Приморский край;Красноярский край
00000000018942;Калужская область;Кировская область
00000000018972;Калужская область;Кировская область
00000000018975;Калужская область;Ставропольский край
00000000018980;Калужская область;Республика Карелия
00000000019170;Пермский край;Воронежская область
00000000019283;Пермский край;Республика Башкортостан
00000000019286;Пермский край;Приморский край
00000000021837;Архангельская область;не найдено
00000000022307;Свердловская область;Архангельская область
00000000022357;РФ;Псковская область
00000000022595;Севастополь;Севастополь
00000000023465;Краснодарский край;Алтайский край
00000000024131;Липецкая область;Республика Татарстан
00000000024281;Липецкая область;Республика Татарстан
00000000024291;Липецкая область;Ленинградская область
00000000024364;Липецкая область;Республика Татарстан
00000000024370;Липецкая область;Республика Татарстан
00000000024371;Липецкая область;Республика Татарстан
00000000024376;Липецкая область;Республика Татарстан
00000000024379;Липецкая область;Республика Татарстан
00000000024381;Липецкая область;Республика Татарстан
00000000024383;Липецкая область;Республика Татарстан
00000000024385;Липецкая область;Республика Татарстан
00000000024389;Липецкая область;Республика Татарстан
00000000024394;Липецкая область;Республика Татарстан
00000000024400;Липецкая область;Республика Татарстан
00000000024405;Липецкая область;Республика Татарстан
00000000024411;Липецкая область;Республика Татарстан
00000000024521;РФ;Ханты-Мансийский автономный округ — Югра
00000000024525;РФ;Красноярский край
00000000025244;Красноярский край;Республика Коми
00000000025357;Пермский край;Тверская область
00000000025362;Пермский край;Приморский край
00000000025365;Пермский край;Саратовская область
00000000025366;Пермский край;Воронежская область
00000000025367;Пермский край;Саратовская область
00000000025376;Пермский край;Саратовская область
00000000025388;Пермский край;Воронежская область
00000000025389;Пермский край;Саратовская область
00000000025414;РФ;Ростовская область
00000000025554;Нижегородская область;Республика Марий Эл
00000000100080;Кировская область;Алтайский край
00000000100265;Кировская область;Республика Бурятия
00000000100460;Республика Башкортостан;Воронежская область
00000000100526;Республика Башкортостан;Владимирская область
00000000100550;Кировская область;Республика Татарстан
00000000100739;Кировская область;Краснодарский край
00000000100765;Кировская область;Республика Татарстан
00000000101276;Кировская область;Республика Татарстан
00000000101277;Кировская область;Республика Карелия
00000000101285;Кировская область;Республика Татарстан
00000000101287;Кировская область;Республика Татарстан
00000000101289;Кировская область;Республика Татарстан
00000000101295;Кировская область;Алтайский край
00000000101297;Кировская область;Республика Татарстан
00000000101302;Кировская область;Республика Карелия
00000000101305;Кировская область;Республика Татарстан
00000000101318;Кировская область;Республика Татарстан
00000000101328;Кировская область;Республика Татарстан
00000000101341;Кировская область;Республика Татарстан
00000000101344;Кировская область;Республика Татарстан
00000000101397;РФ;Республика Башкортостан
00000000101486;РФ;Республика Башкортостан
00000000101531;РФ;Республика Башкортостан
00000000101607;РФ;Республика Башкортостан
00000000101608;РФ;Республика Башкортостан
00000000101632;РФ;Республика Башкортостан
00000000101664;РФ;Республика Башкортостан
00000000101677;Кировская область;Республика Татарстан
00000000101977;Республика Башкортостан;Самарская область
00000000101995;Республика Башкортостан;Ярославская область
00000000102060;Республика Башкортостан;Свердловская область
00000000102117;Кировская область;Калужская область
00000000102134;Кировская область;Москва
00000000102166;РФ;Республика Башкортостан
00000000102231;РФ;Республика Башкортостан
00000000102333;Республика Башкортостан;Республика Татарстан
00000000102338;РФ;Республика Башкортостан
00000000102345;РФ;Республика Башкортостан
00000000102377;РФ;Республика Башкортостан
00000000102393;Кировская область;Республика Татарстан
00000000102425;Кировская область;Республика Татарстан
00000000102429;Кировская область;Республика Татарстан
00000000102437;Кировская область;Республика Татарстан
00000000102441;Кировская область;Алтайский край
00000000102443;РФ;Республика Башкортостан
00000000102444;Кировская область;Республика Татарстан
00000000102447;Республика Башкортостан;Оренбургская область
00000000102456;Кировская область;Республика Татарстан
00000000102458;Кировская область;Республика Татарстан
00000000102464;Кировская область;Республика Татарстан
00000000102469;Кировская область;Республика Татарстан
00000000102472;Кировская область;Ярославская область
00000000102763;Республика Башкортостан;Республика Татарстан
00000000102805;Республика Башкортостан;Челябинская область
00000000102807;Республика Башкортостан;Владимирская область
00000000103032;РФ;Республика Башкортостан
00000000103112;Республика Башкортостан;Республика Татарстан
00000000103177;РФ;Республика Башкортостан
00000000103743;РФ;Республика Башкортостан
00000000103990;Республика Башкортостан;Амурская область
00000000103991;Республика Башкортостан;Белгородская область
00000000104190;Республика Башкортостан;Калужская область
00000000104500;Кировская область;Алтайский край
00000000104501;Кировская область;Республика Татарстан
00000000104503;Кировская область;Республика Татарстан
00000000104512;Кировская область;Республика Татарстан
00000000104525;Республика Башкортостан;Тульская область
00000000104535;Кировская область;Республика Татарстан
00000000104585;Алтайский край;Астраханская область
00000000104879;Алтайский край;Республика Адыгея
00000000105219;Кировская область;Республика Татарстан
00000000105226;Кировская область;Республика Татарстан
00000000105236;Кировская область;Республика Татарстан
00000000105238;Кировская область;Республика Татарстан
00000000105244;Кировская область;Республика Татарстан
00000000105247;Кировская область;Республика Татарстан
00000000105248;Кировская область;Республика Татарстан
00000000105249;Кировская область;Республика Татарстан
00000000105554;РФ;Республика Башкортостан
00000000105813;РФ;Астраханская область
00000000105814;РФ;Астраханская область
00000000105816;РФ;Астраханская область
00000000105999;Республика Коми;Краснодарский край
00000000106015;Республика Коми;Республика Татарстан
00000000106024;Республика Коми;Московская область
00000000106029;Республика Коми;Республика Татарстан
00000000106050;РФ;Краснодарский край
00000000106096;РФ;Краснодарский край
00000000106169;Алтайский край;Тульская область
00000000106183;Алтайский край;Рязанская область
00000000106194;Алтайский край;Ростовская область
00000000106200;РФ;Алтайский край
00000000106202;Алтайский край;Свердловская область
00000000106339;Алтайский край;Воронежская область
00000000106362;Алтайский край;Республика Татарстан
00000000107146;Севастополь;Севастополь
00000000107147;Севастополь;Севастополь
00000000107150;Краснодарский край;Ростовская область
00000000108247;Астраханская область;Ставропольский край
00000000108920;Тюменская область;Краснодарский край
00000000109259;Ярославская область;Пермский край
00000000109264;Ярославская область;Челябинская область
00000000109481;Сахалинская область;Ростовская область
00000000110613;Забайкальский край;Республика Дагестан
00000000110649;РФ;Тюменская область
00000000110668;Свердловская область;Краснодарский край
00000000110740;Тюменская область;Московская область
00000000112139;Челябинская область;Калужская область
00000000112209;Костромская область;Оренбургская область
00000000113117;Брянская область;Ставропольский край
00000000113500;Ростовская область;Волгоградская область
00000000113535;Ростовская область;Краснодарский край
00000000113570;Республика Хакасия;Курская область
00000000113580;Белгородская область;Калининградская область
00000000114283;Оренбургская область;Челябинская область
00000000114303;Кемеровская область;Красноярский край
00000000115044;Сахалинская область;Воронежская область
00000000115237;РФ;Ростовская область
00000000115289;Сахалинская область;Приморский край
